Date,station,Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar radiation,Next_Tmax,Next_Tmin,year,month,day,LDAPS_CC_ALL,LDAPS_PPT_ALL,Error_max,Error_min,Avg_error_max,Avg_error_min,model_correction_max,model_correction_min
2013-06-30,1.0,28.7,21.4,58.25568771,91.11636353,28.07410146,23.00693617,6.818886966,69.45180527,0.233947471,0.20389571,0.161696854,0.130928198,0.0,0.0,0.0,0.0,37.6046,126.991,212.335,2.785,5992.895996,29.1,21.2,2013.0,6.0,30.0,0.18261705825,0.0,0.03525424536082474,-0.08523283820754718,0.019580628759043053,-0.02774359805368209,92.90047921815493,56.63946532583293
2013-06-30,2.0,31.9,21.6,52.26339722,90.60472107,29.85068856,24.03500932,5.691889932,51.93744783,0.225508198,0.251771373,0.159444059,0.127727264,0.0,0.0,0.0,0.0,37.6046,127.032,44.7624,0.5141,5869.3125,30.5,22.5,2013.0,6.0,30.0,0.1911127235,0.0,0.021288899672131205,-0.06822263644444446,0.019580628759043053,-0.02774359805368209,92.3788184770883,50.81342253460839
2013-06-30,3.0,31.6,23.3,48.69047928,83.97358704,30.09129171,24.56563342,6.138223678,20.57304966,0.209343664,0.257469446,0.204091465,0.14212525,0.0,0.0,0.0,0.0,37.5776,127.058,33.3068,0.2661,5863.555664,31.1,23.9,2013.0,6.0,30.0,0.20325745625,0.0,0.032434350160771744,-0.027850770711297178,0.019580628759043053,-0.02774359805368209,85.61784267339542,47.33963019381454
2013-06-30,4.0,32.0,23.4,58.23978806,96.48368835,29.7046289,23.32617729,5.650050263,65.72714393,0.216372027,0.226002422,0.16115741,0.134248676,0.0,0.0,0.0,0.0,37.645,127.022,45.716,2.5348,5856.964844,31.7,24.3,2013.0,6.0,30.0,0.18444513375000002,0.0,0.06294546056782334,0.04007500864197532,0.019580628759043053,-0.02774359805368209,98.37289963288454,56.62400678933173
2013-06-30,5.0,31.4,21.9,56.17409515,90.15512848,29.11393432,23.48647993,5.735004306,107.9655353,0.151406899,0.249995278,0.178892475,0.170020995,0.0,0.0,0.0,0.0,37.5507,127.135,35.038,0.5055,5859.552246,31.2,22.5,2013.0,6.0,30.0,0.18757891175000002,0.0,0.06686107948717951,-0.04384355244444452,0.019580628759043053,-0.02774359805368209,91.92042258149071,54.615623633129104
2013-06-30,6.0,31.9,23.5,52.43712616,85.30725098,29.21934227,23.8226129,6.182295263,50.23138913,0.185278777,0.280817986,0.232840977,0.146362898,0.0,0.0,0.0,0.0,37.5102,127.042,54.6384,0.1457,5873.780762,31.5,24.0,2013.0,6.0,30.0,0.21132515950000003,0.0,0.07240183269841274,0.007391129166666695,0.019580628759043053,-0.02774359805368209,86.9776205918939,50.98233160872674
2013-06-30,7.0,31.4,24.4,56.28718948,81.01976013,28.55185865,24.23846712,5.587134739,125.110007,0.389600243,0.333569981,0.270418989,0.145705371,0.0,0.0,0.0,0.0,37.5776,126.838,12.37,0.0985,5849.233398,30.9,23.4,2013.0,6.0,30.0,0.284823646,0.0,0.07599162944983816,-0.03583192820512823,0.019580628759043053,-0.02774359805368209,82.60617797525224,54.725580319495435
2013-06-30,8.0,32.1,23.6,52.32621765,78.00453949,28.85198158,23.81905389,6.104417304,42.01154665,0.357856423,0.344928144,0.272387332,0.143840614,0.0,0.0,0.0,0.0,37.4697,126.91,52.518,1.5629,5863.992188,31.1,22.9,2013.0,6.0,30.0,0.27975312825,0.0,0.07228355048231515,-0.040133357641921434,0.019580628759043053,-0.02774359805368209,79.5319174192738,50.87450009984891
2013-06-30,9.0,31.4,22.0,55.33879089,80.78460693,28.4269752,23.33237339,6.017135074,85.11097145,0.408765723,0.344800274,0.26497959,0.148911073,0.0,0.0,0.0,0.0,37.4967,126.826,50.9312,0.4125,5876.901367,31.3,21.6,2013.0,6.0,30.0,0.291864165,0.0,0.09178992971246006,-0.08020247175925922,0.019580628759043053,-0.02774359805368209,82.36642032774154,53.80349371877107
2013-06-30,10.0,31.6,20.5,56.65120316,86.84963226,27.57670489,22.52701832,6.518841068,63.00607544,0.348292483,0.306254824,0.245254185,0.135443459,0.0,0.0,0.0,0.0,37.4562,126.955,208.507,5.1782,5893.608398,30.5,21.0,2013.0,6.0,30.0,0.25881123775,0.0,0.09584574131147545,-0.07271515809523808,0.019580628759043053,-0.02774359805368209,88.55020266714247,55.079494950271474
2013-06-30,11.0,31.7,23.5,51.15639496,85.38563538,29.69472429,24.43264603,6.411812464,55.69031231,0.175333607,0.281865702,0.211470522,0.162906996,0.0,0.0,0.0,0.0,37.5372,127.085,28.7,0.6233,5864.000977,31.2,24.5,2013.0,6.0,30.0,0.20789420675,0.0,0.04824601634615383,0.002749141632653029,0.019580628759043053,-0.02774359805368209,87.05753980773078,49.73713250035435
2013-06-30,12.0,31.6,22.2,51.28834915,80.3380127,28.93631368,24.36594852,6.423992604,28.71928795,0.251017448,0.25629401,0.182101953,0.131399843,0.0,0.0,0.0,0.0,37.5507,126.988,132.118,0.5931,5924.328613,32.6,22.2,2013.0,6.0,30.0,0.20520331349999998,0.0,0.11238301595092025,-0.09756524864864868,0.019580628759043053,-0.02774359805368209,81.91108150191798,49.86542580634549
